Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7
23,460	6,554	5,869	23,460	6,445	9,991
23,480	6,560	5,889	23,480	6,451	9,991
23,500	6,566	5,902	23,500	6,456	9,991
23,520	6,571	5,934	23,520	6,462	9,991
23,540	6,577	5,957	23,540	6,468	9,991
23,560	6,582	5,979	23,560	6,473	9,991
23,580	6,588	6,003	23,580	6,479	9,991
23,600	6,594	6,026	23,600	6,485	9,991
23,620	6,600	6,050	23,620	6,490	9,991
23,640	6,605	6,074	23,640	6,496	9,991
23,660	6,611	6,099	23,660	6,502	9,991
23,680	6,616	6,122	23,680	6,508	9,991
23,700	6,623	6,149	23,700	6,513	9,991
23,720	6,628	6,175	23,720	6,519	9,991
23,740	6,633	6,200	23,740	6,525	9,991
23,760	6,639	6,228	23,760	6,531	9,991
23,780	6,645	6,255	23,780	6,536	9,991
23,800	6,651	6,283	23,800	6,542	9,991
23,820	6,656	6,311	23,820	6,547	9,991
23,840	6,662	6,339	23,840	6,553	9,991
23,860	6,668	6,346	23,860	6,559	9,991
23,880	6,674	6,395	23,880	6,564	9,991
23,900	6,679	6,429	23,900	6,569	9,991
23,920	6,685	6,460	23,920	6,575	9,991
23,940	6,691	6,491	23,940	6,581	9,991
23,960	6,696	6,523	23,960	6,587	9,991
23,980	6,702	6,556	23,980	6,592	9,991
24,000	6,708	6,589	24,000	6,598	9,991
24,020	6,714	6,622	24,020	6,604	9,991
24,040	6,719	6,656	24,040	6,609	9,991
24,060	6,725	6,690	24,060	6,615	9,991
24,080	6,731	6,724	24,080	6,621	9,991
24,100	6,736	6,759	24,100	6,626	9,991
24,120	6,742	6,795	24,120	6,632	9,991
24,140	6,748	6,832	24,140	6,638	9,991
24,160	6,753	6,868	24,160	6,643	9,991
24,180	6,759	6,905	24,180	6,649	9,991
24,200	6,765	6,943	24,200	6,655	9,991
24,220	6,770	6,999	24,220	6,660	9,991
24,240	6,776	7,042	24,240	6,666	9,991
24,260	6,782	7,061	24,260	6,672	9,991
24,280	6,788	7,099	24,280	6,678	9,991
24,300	6,793	7,139	24,300	6,683	9,991
24,320	6,799	7,180	24,320	6,689	9,991
24,340	6,805	7,221	24,340	6,695	9,991
24,360	6,810	7,262	24,360	6,701	9,991
24,380	6,816	7,304	24,380	6,706	9,991
24,400	6,822	7,348	24,400	6,712	9,991
24,420	6,827	7,391	24,420	6,718	9,991
24,440	6,833	7,434	24,440	6,723	9,991
24,460	6,839	7,478	24,460	6,729	9,991
24,480	6,845	7,523	24,480	6,735	9,991
24,500	6,850	7,567	24,500	6,740	9,991
24,520	6,856	7,614	24,520	6,746	9,991
24,540	6,862	7,660	24,540	6,752	9,991
24,560	6,867	7,706	24,560	6,758	9,991
24,580	6,873	7,753	24,580	6,763	9,991
24,600	6,878	7,742	24,600	6,769	9,991
24,620	6,884	7,843	24,620	6,775	9,991
24,640	6,889	7,897	24,640	6,780	9,991
24,660	6,895	7,948	24,660	6,786	9,991
24,680	6,901	7,997	24,680	6,792	9,991
24,700	6,907	8,048	24,700	6,798	9,991
24,720	6,912	8,098	24,720	6,803	9,991
24,740	6,918	8,148	24,740	6,808	9,991
24,760	6,923	8,199	24,760	6,814	9,991
24,780	6,929	8,251	24,780	6,820	9,991
24,800	6,935	8,303	24,800	6,826	9,991
24,820	6,941	8,354	24,820	6,832	9,991
24,840	6,946	8,408	24,840	6,837	9,991
24,860	6,952	8,459	24,860	6,843	9,991
24,880	6,958	8,513	24,880	6,848	9,991
24,900	6,964	8,566	24,900	6,854	9,991
24,920	6,969	8,619	24,920	6,860	9,991
24,940	6,975	8,673	24,940	6,865	9,991
24,960	6,980	8,734	24,960	6,871	9,991
24,980	6,986	8,784	24,980	6,876	9,991
25,000	6,991	8,833	25,000	6,882	9,991
25,020	6,998	8,887	25,020	6,887	9,991
25,040	7,003	8,942	25,040	6,893	9,991
25,060	7,009	8,995	25,060	6,898	9,991
25,080	7,015	9,049	25,080	6,904	9,991
25,100	7,021	9,103	25,100	6,910	9,991
25,120	7,026	9,158	25,120	6,916	9,991
25,140	7,032	9,213	25,140	6,922	9,991
25,160	7,037	9,267	25,160	6,927	9,991
25,180	7,043	9,321	25,180	6,933	9,991
25,200	7,049	9,375	25,200	6,939	9,991
25,220	7,055	9,429	25,220	6,944	9,991
25,240	7,060	9,485	25,240	6,950	9,991
25,260	7,066	9,540	25,260	6,956	9,991
25,280	7,071	9,593	25,280	6,961	9,991
25,300	7,077	9,647	25,300	6,967	9,991
25,320	7,083	9,701	25,320	6,972	9,991
25,340	7,089	9,818	25,340	6,978	9,991
25,360	7,094	9,794	25,360	6,984	9,991
25,380	7,100	9,828	25,380	6,990	9,991
25,400	7,106	9,864	25,400	6,995	9,991
25,420	7,111	9,897	25,420	7,001	9,991
25,440	7,117	9,925	25,440	7,007	9,991
25,460	7,123	9,949	25,460	7,012	9,991
25,480	7,129	9,968	25,480	7,018	9,991
25,500	7,134	9,983	25,500	7,024	9,991
25,520	7,140	9,991	25,520	7,030	9,991
25,540	7,145	9,992	25,540	7,035	9,991
25,560	7,151	9,991	25,560	7,041	9,991
25,580	7,157	9,991	25,580	7,047	9,991
25,600	7,162	9,991	25,600	7,052	9,991
25,620	7,169	9,991	25,620	7,058	9,991
25,640	7,174	9,991	25,640	7,063	9,991
25,660	7,180	9,991	25,660	7,069	9,991
25,680	7,185	9,991	25,680	7,075	9,991
25,700	7,190	9,991	25,700	7,080	9,991
25,720	7,196	9,991	25,720	7,086	9,991
25,740	7,201	9,991	25,740	7,092	9,991
25,760	7,207	9,991	25,760	7,097	9,991
25,780	7,213	9,991	25,780	7,103	9,991
25,800	7,218	9,991	25,800	7,109	9,991
25,820	7,224	9,991	25,820	7,115	9,991
25,840	7,230	9,991	25,840	7,120	9,991
25,860	7,236	9,991	25,860	7,126	9,991
25,880	7,241	9,991	25,880	7,132	9,991
25,900	7,247	9,991	25,900	7,138	9,991
25,920	7,253	9,991	25,920	7,143	9,991
25,940	7,259	9,991	25,940	7,149	9,991
25,960	7,264	9,991	25,960	7,154	9,991
25,980	7,270	9,991	25,980	7,160	9,991
26,000	7,275	9,991	26,000	7,165	9,991
26,020	7,281	9,991	26,020	7,171	9,991
26,040	7,287	9,991	26,040	7,177	9,991
26,060	7,293	9,991	26,060	7,183	9,991
26,080	7,298	9,991	26,080	7,188	9,991
26,100	7,304	9,991	26,100	7,194	9,991
26,120	7,310	9,991	26,120	7,199	9,991
26,140	7,316	9,991	26,140	7,205	9,991
26,160	7,321	9,991	26,160	7,210	9,991
26,180	7,326	9,991	26,180	7,216	9,991
26,200	7,332	9,991	26,200	7,222	9,991
26,220	7,338	9,991	26,220	7,227	9,991
26,240	7,344	9,991	26,240	7,233	9,991
26,260	7,350	9,991	26,260	7,239	9,991
26,280	7,355	9,991	26,280	7,245	9,991
26,300	7,360	9,991	26,300	7,250	9,991
26,320	7,367	9,991	26,320	7,256	9,991
26,340	7,372	9,991	26,340	7,261	9,991
26,360	7,377	9,991	26,360	7,267	9,991
26,380	7,383	9,991	26,380	7,273	9,991
26,400	7,389	9,991	26,400	7,279	9,991
26,420	7,395	9,991	26,420	7,284	9,991
26,440	7,400	9,991	26,440	7,290	9,991
26,460	7,406	9,991	26,460	7,296	9,991
26,480	7,412	9,991	26,480	7,301	9,991
26,500	7,417	9,991	26,500	7,307	9,991
26,520	7,423	9,991	26,520	7,313	9,991
26,540	7,429	9,991	26,540	7,318	9,991
26,560	7,435	9,991	26,560	7,324	9,991
26,580	7,440	9,991	26,580	7,330	9,991
26,600	7,446	9,991	26,600	7,336	9,991
26,620	7,451	9,991	26,620	7,341	9,991
26,640	7,457	9,991	26,640	7,346	9,991
26,660	7,463	9,991	26,660	7,352	9,991
26,680	7,469	9,991	26,680	7,358	9,991
26,700	7,474	9,991	26,700	7,363	9,991
26,720	7,480	9,991	26,720	7,369	9,991
26,740	7,485	9,991	26,740	7,375	9,991
26,760	7,491	9,991	26,760	7,381	9,991
26,780	7,497	9,991	26,780	7,386	9,991
26,800	7,502	9,991	26,800	7,392	9,991
26,820	7,508	9,991	26,820	7,398	9,991
26,840	7,514	9,991	26,840	7,403	9,991
26,860	7,519	9,991	26,860	7,409	9,991
26,880	7,525	9,991	26,880	7,414	9,991
26,900	7,531	9,991	26,900	7,420	9,991
26,920	7,536	9,991	26,920	7,426	9,991
26,940	7,542	9,991	26,940	7,431	9,991
26,960	7,548	9,991	26,960	7,437	9,991
26,980	7,553	9,991	26,980	7,443	9,991
27,000	7,559	9,991	27,000	7,449	9,991
27,020	7,564	9,991	27,020	7,454	9,991
27,040	7,570	9,991	27,040	7,460	9,991
27,060	7,576	9,991	27,060	7,466	9,991
27,080	7,582	9,991	27,080	7,471	9,991
27,100	7,588	9,991	27,100	7,477	9,991
27,120	7,593	9,991	27,120	7,483	9,991
27,140	7,599	9,991	27,140	7,488	9,991
27,160	7,604	9,991	27,160	7,494	9,991
27,180	7,610	9,991	27,180	7,500	9,991
27,200	7,616	9,991	27,200	7,505	9,991
			27,220	7,511	9,991
			27,240	7,516	9,991
			27,260	7,522	9,991
			27,280	7,528	9,991
			27,300	7,533	9,991
			27,320	7,539	9,991
			27,340	7,545	9,991
			27,360	7,550	9,991
			27,380	7,556	9,991
			27,400	7,562	9,991
			27,420	7,567	9,991
			27,440	7,573	9,991
			27,460	7,578	9,991
			27,480	7,584	9,991
			27,500	7,590	9,991
			27,520	7,596	9,991
			27,540	7,601	9,991
			27,560	7,607	9,991
			27,580	7,613	9,991
			27,600	7,618	9,991
			27,620	7,624	9,991
			27,640	7,630	9,991
			27,660	7,635	9,991
			27,680	7,641	9,991
			27,700	7,647	9,991
			27,720	7,652	9,991
			27,740	7,658	9,991
			27,760	7,663	9,991
			27,780	7,669	9,991
			27,800	7,675	9,991
			27,820	7,681	9,991
			27,840	7,686	9,991
			27,860	7,692	9,991
			27,880	7,697	9,991
			27,900	7,703	9,991
			27,920	7,709	9,991
			27,940	7,715	9,991
			27,960	7,720	9,991
			27,980	7,726	9,991
			28,000	7,732	9,991
			28,020	7,737	9,991
			28,040	7,743	9,991
			28,060	7,748	9,991
			28,080	7,754	9,991
			28,100	7,759	9,991
			28,120	7,765	9,991
			28,140	7,770	9,991
			28,160	7,777	9,991
			28,180	7,782	9,991
			28,200	7,788	9,991
			28,220	7,793	9,991
			28,240	7,799	9,991
			28,260	7,805	9,991
			28,280	7,811	9,991
			28,300	7,816	9,991
			28,320	7,822	9,991
			28,340	7,827	9,991
			28,360	7,832	9,991
			28,380	7,838	9,991
			28,400	7,844	9,991
			28,420	7,849	9,991
			28,440	7,855	9,991
			28,460	7,861	9,991
			28,480	7,863	9,991
			28,500	7,864	9,991
			28,520	7,863	9,991
			28,540	7,864	9,991
			28,560	7,864	9,991
			28,580	7,863	9,991
			28,600	7,864	9,991
			28,620	7,864	9,991
			28,640	7,864	9,991
			28,660	7,864	9,991
			28,680	7,864	9,991
			28,700	7,864	9,991
			28,720	7,862	9,991
			28,740	5,207	9,991
			28,760	0,003	9,990
			28,780	0,003	9,990
			28,800	0,003	7,363
			28,820	0,003	0,671
			28,840	0,003	0,005
			28,860	0,003	-0,028
			28,880	0,003	-0,032
			28,900	0,003	-0,036
			28,920	0,003	-0,035
			28,940	0,003	-0,035
			28,960	0,004	-0,035
			28,980	0,003	-0,034
			29,000	0,003	-0,034
			29,020	0,003	-0,033
			29,040	0,003	-0,031
			29,060	0,003	-0,032
			29,080	0,003	-0,030
			29,100	0,003	-0,030
			29,120	0,003	-0,030
			29,140	0,003	-0,028
			29,160	0,003	-0,029
			29,180	0,003	-0,028
			29,200	0,003	-0,026
			29,220	0,003	-0,027
			29,240	0,003	-0,026
			29,260	0,003	-0,026
			29,280	0,003	-0,025
			29,300	0,003	-0,023
			29,320	0,003	-0,024
			29,340	0,003	-0,022
			29,360	0,003	-0,022
			29,380	0,003	-0,022
			29,400	0,003	-0,021
			29,420	0,003	-0,021
			29,440	0,003	-0,020
			29,460	0,003	-0,019
			29,480	0,003	-0,019
			29,500	0,003	-0,018
			29,520	0,003	-0,018
			29,540	0,003	-0,018
			29,560	0,003	-0,017
			29,580	0,003	-0,017
			29,600	0,003	-0,016
			29,620	0,003	-0,015
			29,640	0,003	-0,016
			29,660	0,003	-0,015
			29,680	0,003	-0,014
			29,700	0,003	-0,014
			29,720	0,003	-0,013
			29,740	0,003	-0,014
			29,760	0,003	-0,013
			29,780	0,003	-0,012
			29,800	0,003	-0,012
			29,820	0,003	-0,012
			29,840	0,003	-0,011
			29,860	0,004	-0,011
			29,880	0,003	-0,011
			29,900	0,003	-0,011
			29,920	0,003	-0,011
			29,940	0,003	-0,010
			29,960	0,003	-0,010
			29,980	0,003	-0,009
			30,000	0,003	-0,009
			30,020	0,003	-0,009
			30,040	0,003	-0,009
			30,060	0,003	-0,009
			30,080	0,003	-0,008
			30,100	0,003	-0,008
			30,120	0,003	-0,007
			30,140	0,003	-0,006
			30,160	0,003	-0,007
			30,180	0,003	-0,007
			30,200	0,003	-0,006
			30,220	0,003	-0,006
			30,240	0,003	-0,006
			30,260	0,003	-0,005
			30,280	0,004	-0,005
			30,300	0,003	-0,005
			30,320	0,003	-0,005
			30,340	0,003	-0,005
			30,360	0,003	-0,004
			30,380	0,003	-0,005
			30,400	0,003	-0,004
			30,420	0,003	-0,004
			30,440	0,003	-0,004
			30,460	0,003	-0,003
			30,480	0,003	-0,003
			30,500	0,003	-0,003
			30,520	0,003	-0,003
			30,540	0,003	-0,004
			30,560	0,003	-0,002
			30,580	0,003	-0,002
			30,600	0,003	-0,003
			30,620	0,003	-0,002
			30,640	0,003	-0,002
			30,660	0,003	-0,002
			30,680	0,003	-0,001
			30,700	0,003	-0,002
			30,720	0,003	-0,002
			30,740	0,003	-0,002
			30,760	0,003	-0,002
			30,780	0,003	-0,002
			30,800	0,003	-0,002
			30,820	0,003	-0,001
			30,840	0,003	-9,729E-4
			30,860	0,003	-7,898E-4
			30,880	0,003	-3,528E-4
			30,900	0,003	-0,001
			30,920	0,003	-4,236E-4
			30,940	0,003	-1,831E-4
			30,960	0,003	-1,917E-4
			30,980	0,003	9,277E-5
			31,000	0,003	-8,423E-5
			31,020	0,003	-2,747E-4
			31,040	0,003	7,898E-4
			31,060	0,003	2,002E-4
			31,080	0,003	2,930E-4
			31,100	0,003	7,227E-4
			31,120	0,003	4,651E-4
			31,140	0,003	5,786E-4
			31,160	0,003	0,001
			31,180	0,003	8,838E-4
			31,200	0,003	0,001
			31,220	0,003	0,001
			31,240	0,003	0,001
			31,260	0,003	0,002
			31,280	0,003	0,001
			31,300	0,003	0,002
			31,320	0,003	0,002
			31,340	0,003	0,002
			31,360	0,003	0,002
			31,380	0,003	0,002
			31,400	0,003	0,003
			31,420	0,003	0,003
			31,440	0,003	0,003
			31,460	0,003	0,003
			31,480	0,003	0,003
			31,500	0,003	0,003
			31,520	0,003	0,003
			31,540	0,003	0,003
			31,560	0,003	0,004
			31,580	0,003	0,004
			31,600	0,003	0,003
			31,620	0,003	0,004
			31,640	0,003	0,004
			31,660	0,003	0,004
			31,680	0,003	0,005
			31,700	0,003	0,004
			31,720	0,003	0,004
			31,740	0,003	0,004
			31,760	0,003	0,004
			31,780	0,003	0,005
			31,800	0,003	0,004
			31,820	0,003	0,005
			31,840	0,003	0,005
			31,860	0,003	0,005
			31,880	0,003	0,005
			31,900	0,003	0,005
			31,920	0,003	0,005
			31,940	0,003	0,006
			31,960	0,003	0,005
			31,980	0,003	0,005
			32,000	0,003	0,005
			32,020	0,003	0,006
			32,040	0,003	0,006
			32,060	0,003	0,006
			32,080	0,003	0,006
			32,100	0,003	0,006
			32,120	0,003	0,006
			32,140	0,003	0,006
			32,160	0,003	0,007
			32,180	0,003	0,006
			32,200	0,003	0,006
			32,220	0,003	0,007
			32,240	0,003	0,007
			32,260	0,003	0,007
			32,280	0,003	0,007
			32,300	0,003	0,007
			32,320	0,003	0,007
			32,340	0,003	0,007
			32,360	0,003	0,007
			32,380	0,003	0,008
			32,400	0,003	0,007
			32,420	0,003	0,008
			32,440	0,003	0,007
			32,460	0,003	0,008
			32,480	0,003	0,008
			32,500	0,003	0,008
			32,520	0,003	0,008
			32,540	0,003	0,008
			32,560	0,003	0,008
			32,580	0,003	0,009
			32,600	0,003	0,008
			32,620	0,003	0,008
			32,640	0,003	0,008
			32,660	0,003	0,009
			32,680	0,002	0,008
			32,700	0,003	0,009
			32,720	0,003	0,008
			32,740	0,004	0,009
			32,760	0,003	0,009
			32,780	0,003	0,009
			32,800	0,003	0,009
			32,820	0,003	0,009
			32,840	0,003	0,009
			32,860	0,003	0,009
			32,880	0,003	0,009
			32,900	0,003	0,009
			32,920	0,003	0,009
			32,940	0,003	0,010
			32,960	0,003	0,009
			32,980	0,002	0,009
			33,000	0,003	0,010
